country_code,country_name,paper_count,citations,github_linked_papers,research_to_code_score,bridge_score,degree
AE,AE,47,4820,1,0.02127659574468085,0.006679574056147144,46
AL,AL,1,1,0,0.0,0.0002904162633107454,2
AT,AT,24,78155,1,0.041666666666666664,0.009002904162633107,62
AU,AU,188,32083,17,0.09042553191489362,0.019457889641819943,134
AZ,AZ,2,42,0,0.0,0.0008712487899322362,6
BD,BD,20,3560,0,0.0,0.006098741529525654,42
BE,BE,17,4210,0,0.0,0.007115198451113262,49
BG,BG,1,81,0,0.0,0.0008712487899322362,6
BH,BH,2,35,0,0.0,0.0008712487899322362,6
BN,BN,1,23,0,0.0,0.0002904162633107454,2
BR,BR,27,2500,1,0.037037037037037035,0.009728944820909972,67
BS,BS,1,88,0,0.0,0.0001452081316553727,1
CA,CA,180,31384,13,0.07222222222222222,0.018586640851887704,128
CH,CH,45,5040,13,0.28888888888888886,0.009728944820909972,67
CL,CL,2,88,0,0.0,0.0004356243949661181,3
CN,CN,1118,106572,82,0.07334525939177101,0.0723136495643756,498
CO,CO,2,14,0,0.0,0.0007260406582768634,5
CR,CR,1,1,0,0.0,0.0001452081316553727,1
CY,CY,5,471,0,0.0,0.002468538238141336,17
CZ,CZ,18,76993,0,0.0,0.007405614714424007,51
DE,DE,99,107126,9,0.09090909090909091,0.022942884801548886,158
DK,DK,22,2547,1,0.045454545454545456,0.007405614714424007,51
DZ,DZ,12,1638,1,0.08333333333333333,0.003049370764762827,21
EC,EC,1,16,0,0.0,0.0002904162633107454,2
EE,EE,5,299,0,0.0,0.0018877057115198452,13
EG,EG,17,1132,0,0.0,0.004501452081316554,31
ES,ES,58,15141,5,0.08620689655172414,0.015392061955469506,106
ET,ET,5,3295,0,0.0,0.0029041626331074537,20
FI,FI,48,12290,1,0.020833333333333332,0.008712487899322361,60
FJ,FJ,1,50,0,0.0,0.0008712487899322362,6
FM,FM,1,6,0,0.0,0.0002904162633107454,2
FR,FR,79,109876,9,0.11392405063291139,0.02570183930300097,177
GB,GB,301,76591,23,0.07641196013289037,0.0313649564375605,216
GH,GH,2,334,0,0.0,0.0010164569215876087,7
GR,GR,33,3652,0,0.0,0.008712487899322361,60
GW,GW,1,383,0,0.0,0.004791868344627299,33
HK,HK,133,21191,24,0.18045112781954886,0.007550822846079381,52
HR,HR,2,3,0,0.0,0.0008712487899322362,6
HU,HU,8,1098,0,0.0,0.0037754114230396903,26
ID,ID,5,857,0,0.0,0.006534365924491771,45
IE,IE,34,5117,2,0.058823529411764705,0.009728944820909972,67
IL,IL,15,4753,4,0.26666666666666666,0.0029041626331074537,20
IN,IN,210,8712,6,0.02857142857142857,0.03557599225556631,245
IQ,IQ,11,408,0,0.0,0.0043562439496611805,30
IR,IR,23,3667,1,0.043478260869565216,0.007841239109390125,54
